N;time
7000;696
7000;696
7000;696
7000;698
7000;699
7000;699
7000;699
7000;695
7000;698
7000;695
7000;698
7000;699
7000;721
7000;795
7000;800
7000;712
7000;724
7000;720
7000;718
7000;724
7000;779
7000;783
7000;781
7000;809
7000;811
7000;797
7000;807
7000;809
7000;805
7000;809
7000;780
7000;718
7000;729
7000;761
7000;791
7000;809
7000;804
7000;789
7000;751
7000;741
7000;743
7000;739
7000;791
7000;798
7000;779
7000;761
7000;790
7000;830
7000;829
7000;837
7000;839
7000;808
7000;863
7000;778
7000;769
7000;795
7000;789
7000;821
7000;817
7000;843
7000;845
8000;890
8000;956
8000;957
8000;949
8000;869
8000;870
8000;920
8000;966
8000;929
8000;920
8000;943
8000;920
8000;967
8000;895
8000;932
8000;932
8000;934
8000;924
8000;941
8000;967
8000;945
8000;960
8000;962
8000;944
8000;931
8000;932
8000;924
8000;924
8000;921
8000;900
8000;861
8000;852
8000;857
8000;859
8000;861
8000;891
8000;945
8000;961
8000;930
8000;928
8000;947
8000;947
8000;919
8000;967
8000;972
8000;963
8000;964
8000;960
8000;961
8000;901
8000;937
8000;919
8000;907
8000;969
8000;895
8000;878
8000;933
8000;990
8000;1008
8000;1005
8000;990
8000;963
8000;1040
8000;1032
8000;967
8000;986
8000;1015
8000;996
8000;1002
8000;982
8000;958
8000;925
8000;884
8000;860
8000;889
8000;906
8000;923
8000;970
8000;1019
8000;906
8000;951
8000;977
8000;999
8000;1009
8000;1034
8000;1028
8000;957
8000;975
8000;994
8000;1036
8000;1042
8000;967
8000;892
8000;999
8000;1001
8000;995
8000;1012
8000;1007
8000;1125
8000;981
9000;1029
9000;1062
9000;1068
9000;1076
9000;1224
9000;1162
9000;1078
9000;1135
9000;1150
9000;1171
9000;1082
9000;1150
9000;1169
9000;1157
9000;1126
9000;1080
9000;1052
9000;1089
9000;1105
9000;1095
9000;1072
9000;1073
9000;1095
9000;1152
9000;1126
9000;1039
9000;1090
9000;1056
9000;1068
9000;1073
9000;1038
9000;1062
9000;1110
9000;969
9000;932
9000;936
9000;931
9000;966
9000;1003
9000;1002
9000;1004
9000;1063
9000;1000
9000;1035
9000;1015
9000;1013
9000;1009
9000;995
9000;919
9000;916
9000;916
9000;920
9000;920
9000;977
9000;1001
9000;993
9000;993
9000;989
9000;968
9000;921
9000;906
9000;906
9000;908
9000;904
9000;909
9000;907
9000;908
9000;908
9000;903
9000;903
9000;905
9000;902
9000;901
9000;904
9000;904
9000;902
9000;902
9000;927
9000;988
9000;991
9000;989
9000;977
9000;899
9000;898
9000;902
9000;900
9000;899
9000;900
9000;903
9000;898
9000;904
9000;902
9000;904
9000;903
9000;897
9000;901
9000;900
9000;901
9000;902
9000;901
10000;1003
10000;996
10000;991
10000;995
10000;1028
10000;1005
10000;1009
10000;1002
10000;1003
10000;1022
10000;1005
10000;1003
10000;1001
10000;1001
10000;1027
10000;1010
10000;1005
10000;1002
10000;1005
10000;1031
10000;1005
10000;998
10000;999
10000;997
10000;1031
10000;1016
10000;1013
10000;1009
10000;1013
10000;1034
10000;1011
10000;1013
10000;1012
10000;1014
10000;1029
10000;1019
10000;1010
10000;1013
10000;1009
10000;1033
10000;1084
10000;1086
10000;1085
10000;1086
10000;1040
10000;998
10000;993
10000;991
10000;991
10000;1022
10000;1003
10000;1000
10000;996
10000;993
10000;1031
10000;1020
10000;1014
10000;1017
10000;1016
10000;1037
10000;1018
10000;1013
10000;1015
10000;1014
10000;1043
10000;1017
10000;1020
10000;1012
10000;1017
10000;1022
10000;1002
10000;993
10000;994
10000;990
10000;1017
10000;1000
10000;994
10000;993
10000;994
10000;1020
10000;1005
10000;990
10000;994
10000;993
10000;1017
10000;1011
10000;992
10000;998
10000;992
10000;1009
10000;1077
10000;1088
10000;1089
10000;1085
10000;1088
10000;1082
10000;1078
10000;1076
10000;1055
10000;1097
