N;time
7000;374
7000;363
7000;356
7000;348
7000;342
7000;330
7000;325
7000;322
7000;314
7000;314
7000;296
7000;294
7000;290
7000;281
7000;271
7000;268
7000;261
7000;254
7000;249
7000;244
7000;239
7000;234
7000;238
7000;223
7000;219
7000;214
7000;212
7000;207
7000;217
7000;218
7000;218
7000;214
7000;209
7000;210
7000;209
7000;182
7000;178
7000;175
7000;172
7000;173
7000;167
7000;166
7000;164
7000;164
7000;160
7000;160
7000;157
7000;155
7000;154
7000;154
7000;154
7000;153
7000;153
7000;151
7000;153
7000;151
7000;148
7000;149
7000;155
7000;150
7000;152
8000;819
8000;812
8000;797
8000;791
8000;787
8000;774
8000;760
8000;746
8000;754
8000;808
8000;821
8000;765
8000;720
8000;701
8000;754
8000;748
8000;741
8000;748
8000;747
8000;722
8000;660
8000;657
8000;707
8000;697
8000;689
8000;631
8000;614
8000;590
8000;585
8000;584
8000;576
8000;554
8000;545
8000;550
8000;569
8000;543
8000;536
8000;523
8000;521
8000;513
8000;499
8000;483
8000;475
8000;487
8000;469
8000;454
8000;451
8000;441
8000;432
8000;448
8000;478
8000;474
8000;456
8000;450
8000;439
8000;431
8000;417
8000;408
8000;399
8000;395
8000;397
8000;374
8000;354
8000;379
8000;332
8000;370
8000;370
8000;364
8000;358
8000;349
8000;345
8000;344
8000;335
8000;325
8000;318
8000;321
8000;307
8000;307
8000;276
8000;274
8000;266
8000;264
8000;273
8000;261
8000;253
8000;262
8000;254
8000;252
8000;246
8000;242
8000;238
8000;236
8000;229
8000;225
8000;218
8000;211
8000;206
8000;207
8000;204
8000;201
9000;930
9000;1007
9000;982
9000;965
9000;966
9000;994
9000;983
9000;856
9000;880
9000;898
9000;894
9000;852
9000;792
9000;794
9000;838
9000;851
9000;848
9000;837
9000;829
9000;816
9000;834
9000;794
9000;740
9000;743
9000;771
9000;767
9000;685
9000;746
9000;749
9000;741
9000;726
9000;700
9000;681
9000;703
9000;702
9000;696
9000;711
9000;692
9000;657
9000;629
9000;611
9000;596
9000;596
9000;592
9000;607
9000;611
9000;579
9000;552
9000;538
9000;528
9000;525
9000;526
9000;551
9000;561
9000;511
9000;499
9000;497
9000;498
9000;495
9000;485
9000;497
9000;520
9000;505
9000;501
9000;489
9000;475
9000;480
9000;473
9000;468
9000;460
9000;458
9000;451
9000;448
9000;442
9000;435
9000;429
9000;429
9000;419
9000;412
9000;407
9000;403
9000;407
9000;404
9000;396
9000;390
9000;383
9000;383
9000;384
9000;359
9000;335
9000;329
9000;321
9000;316
9000;307
9000;307
9000;303
9000;297
9000;295
9000;290
9000;302
10000;1052
10000;1062
10000;1112
10000;1105
10000;1094
10000;1095
10000;1077
10000;1064
10000;1066
10000;1061
10000;978
10000;989
10000;1021
10000;1014
10000;940
10000;912
10000;914
10000;929
10000;995
10000;913
10000;904
10000;892
10000;884
10000;905
10000;892
10000;887
10000;874
10000;849
10000;835
10000;826
10000;862
10000;864
10000;865
10000;868
10000;857
10000;838
10000;841
10000;816
10000;785
10000;798
10000;799
10000;790
10000;793
10000;745
10000;720
10000;717
10000;700
10000;692
10000;687
10000;690
10000;727
10000;722
10000;714
10000;706
10000;712
10000;656
10000;643
10000;634
10000;630
10000;626
10000;611
10000;603
10000;595
10000;586
10000;571
10000;563
10000;559
10000;552
10000;546
10000;540
10000;541
10000;532
10000;527
10000;521
10000;518
10000;516
10000;509
10000;504
10000;496
10000;497
10000;485
10000;484
10000;478
10000;474
10000;468
10000;461
10000;459
10000;455
10000;450
10000;445
10000;448
10000;463
10000;447
10000;477
10000;445
10000;446
10000;439
10000;433
10000;421
10000;421
